gamePk,date,home,away,status
747135,2024-04-20T23:20:00Z,Atlanta Braves,Texas Rangers,Final
746570,2024-04-21T00:10:00Z,Colorado Rockies,Seattle Mariners,Final
745431,2024-04-21T00:40:00Z,San Diego Padres,Toronto Blue Jays,Final
744866,2024-04-21T17:35:00Z,Washington Nationals,Houston Astros,Final
745514,2024-04-21T17:35:00Z,Pittsburgh Pirates,Boston Red Sox,Final
745588,2024-04-21T17:35:00Z,Philadelphia Phillies,Chicago White Sox,Final
745759,2024-04-21T17:35:00Z,New York Yankees,Tampa Bay Rays,Final
746727,2024-04-21T17:40:00Z,Cincinnati Reds,Los Angeles Angels,Final
746652,2024-04-21T17:40:00Z,Cleveland Guardians,Oakland Athletics,Final
746316,2024-04-21T18:10:00Z,Kansas City Royals,Baltimore Orioles,Final
745920,2024-04-21T18:10:00Z,Minnesota Twins,Detroit Tigers,Final
745192,2024-04-21T18:15:00Z,St. Louis Cardinals,Milwaukee Brewers,Final
746894,2024-04-21T18:20:00Z,Chicago Cubs,Miami Marlins,Final
746568,2024-04-21T19:10:00Z,Colorado Rockies,Seattle Mariners,Final
746572,2024-04-22T00:10:00Z,Colorado Rockies,Seattle Mariners,Final
745353,2024-04-21T20:05:00Z,San Francisco Giants,Arizona Diamondbacks,Final
746154,2024-04-21T20:10:00Z,Los Angeles Dodgers,New York Mets,Final
745434,2024-04-21T20:10:00Z,San Diego Padres,Toronto Blue Jays,Final
747133,2024-04-21T23:10:00Z,Atlanta Braves,Texas Rangers,Final
745757,2024-04-22T17:05:00Z,New York Yankees,Oakland Athletics,Final
746723,2024-04-22T22:40:00Z,Cincinnati Reds,Philadelphia Phillies,Final
745519,2024-04-22T22:40:00Z,Pittsburgh Pirates,Milwaukee Brewers,Final
745107,2024-04-22T22:50:00Z,Tampa Bay Rays,Detroit Tigers,Final
747134,2024-04-22T23:20:00Z,Atlanta Braves,Miami Marlins,Final
746319,2024-04-22T23:40:00Z,Kansas City Royals,Toronto Blue Jays,Final
745916,2024-04-22T23:40:00Z,Minnesota Twins,Chicago White Sox,Final
745191,2024-04-22T23:45:00Z,St. Louis Cardinals,Arizona Diamondbacks,Final
746565,2024-04-23T00:40:00Z,Colorado Rockies,San Diego Padres,Final
