gamePk,date,home_team,away_team,status,home_score,away_score
776765,2025-08-13T21:10:00Z,Cincinnati Reds,Philadelphia Phillies,Preview,,
776761,2025-08-13T22:35:00Z,Baltimore Orioles,Seattle Mariners,Preview,,
776766,2025-08-13T22:40:00Z,Cleveland Guardians,Miami Marlins,Preview,,
776760,2025-08-13T23:05:00Z,New York Yankees,Minnesota Twins,Preview,,
776757,2025-08-13T23:07:00Z,Toronto Blue Jays,Chicago Cubs,Preview,,
776753,2025-08-13T23:10:00Z,Houston Astros,Boston Red Sox,Preview,,
776756,2025-08-13T23:10:00Z,New York Mets,Atlanta Braves,Preview,,
776752,2025-08-14T01:38:00Z,Los Angeles Angels,Los Angeles Dodgers,Preview,,
776751,2025-08-14T02:05:00Z,Athletics,Tampa Bay Rays,Preview,,
776750,2025-08-14T17:05:00Z,Baltimore Orioles,Seattle Mariners,Preview,,
776747,2025-08-14T19:07:00Z,Toronto Blue Jays,Chicago Cubs,Preview,,
776745,2025-08-14T22:40:00Z,Cleveland Guardians,Miami Marlins,Preview,,
776743,2025-08-14T22:45:00Z,Washington Nationals,Philadelphia Phillies,Preview,,
776748,2025-08-14T23:10:00Z,New York Mets,Atlanta Braves,Preview,,
776744,2025-08-14T23:40:00Z,Minnesota Twins,Detroit Tigers,Preview,,
776742,2025-08-15T00:40:00Z,Colorado Rockies,Arizona Diamondbacks,Preview,,
776737,2025-08-15T18:20:00Z,Chicago Cubs,Pittsburgh Pirates,Preview,,
776740,2025-08-15T22:40:00Z,Cincinnati Reds,Milwaukee Brewers,Preview,,
776739,2025-08-15T22:45:00Z,Washington Nationals,Philadelphia Phillies,Preview,,
776735,2025-08-15T23:07:00Z,Toronto Blue Jays,Texas Rangers,Preview,,
776736,2025-08-15T23:10:00Z,New York Mets,Seattle Mariners,Preview,,
776738,2025-08-15T23:10:00Z,Cleveland Guardians,Atlanta Braves,Preview,,
776741,2025-08-15T23:10:00Z,Boston Red Sox,Miami Marlins,Preview,,
776733,2025-08-16T00:10:00Z,Houston Astros,Baltimore Orioles,Preview,,
776732,2025-08-16T00:10:00Z,Minnesota Twins,Detroit Tigers,Preview,,
776728,2025-08-16T00:10:00Z,Kansas City Royals,Chicago White Sox,Preview,,
776731,2025-08-16T00:15:00Z,St. Louis Cardinals,New York Yankees,Preview,,
776730,2025-08-16T00:40:00Z,Colorado Rockies,Arizona Diamondbacks,Preview,,
776734,2025-08-16T02:05:00Z,Athletics,Los Angeles Angels,Preview,,
776727,2025-08-16T02:10:00Z,Los Angeles Dodgers,San Diego Padres,Preview,,
776729,2025-08-16T02:15:00Z,San Francisco Giants,Tampa Bay Rays,Preview,,
776719,2025-08-16T18:20:00Z,Chicago Cubs,Pittsburgh Pirates,Preview,,
776723,2025-08-16T19:07:00Z,Toronto Blue Jays,Texas Rangers,Preview,,
776725,2025-08-16T20:05:00Z,Washington Nationals,Philadelphia Phillies,Preview,,
776726,2025-08-16T20:10:00Z,New York Mets,Seattle Mariners,Preview,,
776724,2025-08-16T20:10:00Z,Boston Red Sox,Miami Marlins,Preview,,
776721,2025-08-16T22:40:00Z,Cincinnati Reds,Milwaukee Brewers,Preview,,
776722,2025-08-16T23:10:00Z,Houston Astros,Baltimore Orioles,Preview,,
776720,2025-08-16T23:10:00Z,Cleveland Guardians,Atlanta Braves,Preview,,
776712,2025-08-16T23:10:00Z,Kansas City Royals,Chicago White Sox,Preview,,
776716,2025-08-16T23:15:00Z,Minnesota Twins,Detroit Tigers,Preview,,
776713,2025-08-16T23:15:00Z,St. Louis Cardinals,New York Yankees,Preview,,
776715,2025-08-17T00:10:00Z,Colorado Rockies,Arizona Diamondbacks,Preview,,
776711,2025-08-17T01:05:00Z,San Francisco Giants,Tampa Bay Rays,Preview,,
776717,2025-08-17T01:10:00Z,Los Angeles Dodgers,San Diego Padres,Preview,,
776718,2025-08-17T02:05:00Z,Athletics,Los Angeles Angels,Preview,,
776708,2025-08-17T15:35:00Z,Washington Nationals,Philadelphia Phillies,Preview,,
776714,2025-08-17T17:35:00Z,Boston Red Sox,Miami Marlins,Preview,,
776710,2025-08-17T17:37:00Z,Toronto Blue Jays,Texas Rangers,Preview,,
776706,2025-08-17T17:40:00Z,Cleveland Guardians,Atlanta Braves,Preview,,
776709,2025-08-17T17:40:00Z,Cincinnati Reds,Milwaukee Brewers,Preview,,
776705,2025-08-17T18:10:00Z,Houston Astros,Baltimore Orioles,Preview,,
776700,2025-08-17T18:10:00Z,Minnesota Twins,Detroit Tigers,Preview,,
776702,2025-08-17T18:10:00Z,Kansas City Royals,Chicago White Sox,Preview,,
776698,2025-08-17T18:15:00Z,St. Louis Cardinals,New York Yankees,Preview,,
776704,2025-08-17T18:20:00Z,Chicago Cubs,Pittsburgh Pirates,Preview,,
776701,2025-08-17T19:10:00Z,Colorado Rockies,Arizona Diamondbacks,Preview,,
776699,2025-08-17T20:05:00Z,Athletics,Los Angeles Angels,Preview,,
776703,2025-08-17T20:05:00Z,San Francisco Giants,Tampa Bay Rays,Preview,,
776697,2025-08-17T20:10:00Z,Los Angeles Dodgers,San Diego Padres,Preview,,
776707,2025-08-17T23:10:00Z,New York Mets,Seattle Mariners,Preview,,
777459,2025-08-18T18:20:00Z,Chicago Cubs,Milwaukee Brewers,Preview,,
776691,2025-08-19T00:05:00Z,Chicago Cubs,Milwaukee Brewers,Preview,,
776692,2025-08-18T22:40:00Z,Detroit Tigers,Houston Astros,Preview,,
