match_time,home_team,away_team,site,market,outcome,odds
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,FanDuel,spreads,New York Mets,1.79
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,BetOnline.ag,h2h,Atlanta Braves,1.5
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,BetOnline.ag,h2h,New York Mets,2.8
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,BetOnline.ag,spreads,Atlanta Braves,2.0
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,BetOnline.ag,spreads,New York Mets,1.83
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,LowVig.ag,h2h,Atlanta Braves,1.5
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,LowVig.ag,h2h,New York Mets,2.8
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,LowVig.ag,spreads,Atlanta Braves,2.03
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,LowVig.ag,spreads,New York Mets,1.85
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,DraftKings,h2h,Atlanta Braves,1.47
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,DraftKings,h2h,New York Mets,2.71
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,DraftKings,spreads,Atlanta Braves,2.09
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,DraftKings,spreads,New York Mets,1.76
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,BetMGM,h2h,Atlanta Braves,1.5
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,BetMGM,h2h,New York Mets,2.65
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,BetMGM,spreads,Atlanta Braves,2.05
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,BetMGM,spreads,New York Mets,1.8
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,Bovada,h2h,Atlanta Braves,1.48
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,Bovada,h2h,New York Mets,2.7
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,Bovada,spreads,Atlanta Braves,2.05
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,Bovada,spreads,New York Mets,1.8
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,BetUS,h2h,Atlanta Braves,1.49
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,BetUS,h2h,New York Mets,2.78
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,BetUS,spreads,Atlanta Braves,2.0
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,BetUS,spreads,New York Mets,1.83
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,BetRivers,h2h,Atlanta Braves,1.51
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,BetRivers,h2h,New York Mets,2.6
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,BetRivers,spreads,Atlanta Braves,2.08
2025-06-18 23:16:00+00:00,Atlanta Braves,New York Mets,BetRivers,spreads,New York Mets,1.74
2025-06-18 23:36:00+00:00,Tampa Bay Rays,Baltimore Orioles,FanDuel,h2h,Baltimore Orioles,2.0
2025-06-18 23:36:00+00:00,Tampa Bay Rays,Baltimore Orioles,FanDuel,h2h,Tampa Bay Rays,1.85
2025-06-18 23:36:00+00:00,Tampa Bay Rays,Baltimore Orioles,FanDuel,spreads,Baltimore Orioles,2.6
2025-06-18 23:36:00+00:00,Tampa Bay Rays,Baltimore Orioles,FanDuel,spreads,Tampa Bay Rays,1.52
2025-06-18 23:36:00+00:00,Tampa Bay Rays,Baltimore Orioles,BetOnline.ag,h2h,Baltimore Orioles,2.02
2025-06-18 23:36:00+00:00,Tampa Bay Rays,Baltimore Orioles,BetOnline.ag,h2h,Tampa Bay Rays,1.89
2025-06-18 23:36:00+00:00,Tampa Bay Rays,Baltimore Orioles,BetOnline.ag,spreads,Baltimore Orioles,1.51
2025-06-18 23:36:00+00:00,Tampa Bay Rays,Baltimore Orioles,BetOnline.ag,spreads,Tampa Bay Rays,2.7
2025-06-18 23:36:00+00:00,Tampa Bay Rays,Baltimore Orioles,LowVig.ag,h2h,Baltimore Orioles,2.02
2025-06-18 23:36:00+00:00,Tampa Bay Rays,Baltimore Orioles,LowVig.ag,h2h,Tampa Bay Rays,1.89
2025-06-18 23:36:00+00:00,Tampa Bay Rays,Baltimore Orioles,LowVig.ag,spreads,Baltimore Orioles,1.51
2025-06-18 23:36:00+00:00,Tampa Bay Rays,Baltimore Orioles,LowVig.ag,spreads,Tampa Bay Rays,2.71
2025-06-18 23:36:00+00:00,Tampa Bay Rays,Baltimore Orioles,BetMGM,h2h,Baltimore Orioles,1.95
2025-06-18 23:36:00+00:00,Tampa Bay Rays,Baltimore Orioles,BetMGM,h2h,Tampa Bay Rays,1.87
2025-06-18 23:36:00+00:00,Tampa Bay Rays,Baltimore Orioles,BetMGM,spreads,Baltimore Orioles,2.55
2025-06-18 23:36:00+00:00,Tampa Bay Rays,Baltimore Orioles,BetMGM,spreads,Tampa Bay Rays,1.53
2025-06-18 23:36:00+00:00,Tampa Bay Rays,Baltimore Orioles,BetUS,h2h,Baltimore Orioles,2.02
2025-06-18 23:36:00+00:00,Tampa Bay Rays,Baltimore Orioles,BetUS,h2h,Tampa Bay Rays,1.89
